"moved to node from ruby"	0
"moved to swift from c#"	0
"moved from c to perl"	2
"moved to ruby from swift"	0
"moved from c++ to java"	3210
"move to c++ from c#"	9
"switch from php to java"	700
"switch from node to php"	1
"switch to c from perl"	0
"moved to perl from java"	0
"switch to c# from c++"	2
"move from ruby to java"	1350
"switch to c# from visual basic"	0
"move to node from c++"	0
"switch from c++ to php"	2
"moved to c# from visual basic"	0
"switched to swift from perl"	0
"switched from c# to ruby"	6
"switch from perl to c"	5
"move to c from node"	0
"moved to perl from python"	0
"switch from c to perl"	2
"switched to visual basic from c"	0
"move from ruby to python"	4
"stayed with c#"	2970
"move from ruby to c#"	0
"switched to swift from c++"	0
"moved to python from java"	1
"move to java from c"	3
"move from perl to c++"	7
"switched from c# to c"	5
"moved to go from ruby"	1
"switch from php to go"	5
"switched to java from c"	10
"moved from perl to visual basic"	0
"moved to c# from go"	0
"moved to c# from php"	0
"moved from ruby to node"	7
"moved from c++ to go"	4
"switched from perl to c"	5
"switch to c++ from c"	6
"move from go to c"	1
"switch from swift to visual basic"	0
"moved to php from python"	0
"moved to c++ from java"	3
"move from go to node"	1
"switched from visual basic to c++"	2
"moved to swift from ruby"	0
"move to php from visual basic"	0
"move from php to go"	1
"moved from c++ to c#"	2080
"switched from node to perl"	0
"switched to python from swift"	0
"move from php to perl"	1
"switched to c from java"	2
"switch from php to c#"	488
"move to go from ruby"	0
"switched to c++ from perl"	0
"switch from c++ to perl"	2
"switch to php from swift"	0
"moved from go to perl"	0
"moved from php to python"	727
"switched from swift to visual basic"	0
"switch from node to python"	4
"switch from c# to perl"	0
"switch to c# from c"	3
"switch from swift to ruby"	0
"move to c# from visual basic"	0
"switch to node from swift"	0
"switch from php to python"	685
"switch from c# to ruby"	5
"moved to c# from c"	2
"switched from go to swift"	1
"move from python to ruby"	10
"move from c++ to python"	2420
"switched from visual basic to java"	6
"switch to go from node"	8
"switch to php from node"	0
"switch from python to c#"	5
"switch to node from c++"	0
"moved to node from c"	0
"move from c++ to swift"	1
"move from ruby to perl"	0
"stay with visual basic"	7
"moved to c++ from perl"	0
"move to c from visual basic"	0
"moved to swift from perl"	0
"switched to c# from php"	4
"move to perl from c#"	0
"move from swift to node"	0
"switched to perl from c#"	0
"moved to c from node"	0
"switched to c++ from ruby"	0
"move to c# from php"	1
"moved from swift to go"	0
"move from c# to python"	8
"moved to go from python"	9
"moved from go to python"	0
"switch to visual basic from ruby"	0
"switched to php from java"	3
"switched to java from go"	0
"switched to visual basic from python"	0
"stay with php"	41500
"moved to python from c#"	0
"moved from go to java"	2
"moved to go from swift"	0
"moved to visual basic from go"	0
"moved to java from node"	0
"move from visual basic to c"	2
"switched from visual basic to ruby"	0
"switched from go to node"	0
"switch to node from c"	0
"move to c from c++"	0
"moved to perl from node"	0
"move from c# to ruby"	5
"moved from ruby to java"	575
"switch from go to c++"	0
"switched to swift from ruby"	0
"switched to ruby from visual basic"	0
"moved to perl from c#"	0
"stayed with python"	7830
"move to python from perl"	0
"switch from ruby to swift"	2
"switched to ruby from swift"	0
"switched to node from visual basic"	0
"move to php from perl"	1
